"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
-0.108750980223933,-1.49862614669869,NA,NA,"Dabrafenib","BRAF","SBS2","MM",5,4,16,12
0.615023716381463,0.49548249788569,0.643564356435644,0.0693069306930693,"Dabrafenib","BRAF","SBS3L","MM",11,9,16,12
0.023990946470977,-0.774334132432917,NA,NA,"Dabrafenib","BRAF","SBS4/45L","MM",7,5,16,12
0.0203250374128686,0.210860582778374,NA,NA,"Dabrafenib","BRAF","SBS5L","MM",2,2,16,12
-0.024175896114886,1.56060775987256,NA,NA,"Dabrafenib","BRAF","SBS6","MM",3,3,16,12
0.142150284518496,-0.301240006930328,NA,NA,"Dabrafenib","BRAF","SBS7dL","MM",6,3,16,12
0.629147479669134,-0.359207755902818,0.772277227722772,0.495049504950495,"Dabrafenib","BRAF","SBS8L/4L","MM",11,7,16,12
-0.186623093452908,-0.453527467734832,NA,NA,"Dabrafenib","BRAF","SBS11","MM",7,5,16,12
0.579929661743221,1.16455706330758,0.871287128712871,0.0495049504950495,"Dabrafenib","BRAF","SBS12/26L","MM",5,4,16,12
0.171290058708031,0.733309601522291,NA,NA,"Dabrafenib","BRAF","SBS14","MM",2,2,16,12
0.240696749362414,0.147749904778442,0.396039603960396,0.198019801980198,"Dabrafenib","BRAF","SBS17aL","MM",7,4,16,12
0.0527790430578605,-0.791087905247199,NA,NA,"Dabrafenib","BRAF","SBS17b","MM",5,3,16,12
0.238304673062571,-0.740911024404105,0.376237623762376,0.811881188118812,"Dabrafenib","BRAF","SBS18/36L","MM",9,5,16,12
0.217528270806475,-0.198731116356609,0.544554455445545,0.376237623762376,"Dabrafenib","BRAF","SBS19L","MM",7,4,16,12
-0.843492968038916,-0.997531604297073,0.0198019801980198,0.930693069306931,"Dabrafenib","BRAF","SBS22L","MM",7,6,16,12
0.775012381423375,0.418308667138841,0.762376237623762,0.0693069306930693,"Dabrafenib","BRAF","SBS23/11L","MM",5,3,16,12
0.631034119423347,0.0331616298369663,0.732673267326733,0.297029702970297,"Dabrafenib","BRAF","SBS24L","MM",9,6,16,12
0.469393682106068,-0.988707559517193,0.712871287128713,0.900990099009901,"Dabrafenib","BRAF","SBS25L","MM",10,5,16,12
0.303658125361543,1.67275332312702,0.97029702970297,0.118811881188119,"Dabrafenib","BRAF","SBS26/12L","MM",2,2,16,12
0.383565973144582,0.325583949529163,0.475247524752475,0.128712871287129,"Dabrafenib","BRAF","SBS28","MM",7,3,16,12
0.0379472816645365,-1.16932223819563,NA,NA,"Dabrafenib","BRAF","SBS29L/18L","MM",11,7,16,12
-0.105629005242069,-0.292015841656886,NA,NA,"Dabrafenib","BRAF","SBS30L/7bL/11L","MM",6,4,16,12
-0.0931296455595552,-0.281746451828593,NA,NA,"Dabrafenib","BRAF","SBS31L","MM",7,5,16,12
0.124413103595582,-0.345978221698887,NA,NA,"Dabrafenib","BRAF","SBS32L","MM",8,6,16,12
-0.231165482930772,-2.1486424485849,0.178217821782178,0.98019801980198,"Dabrafenib","BRAF","SBS36/56L","MM",9,6,16,12
-0.183166888560165,-0.292701420171847,NA,NA,"Dabrafenib","BRAF","SBS38/45L","MM",8,6,16,12
0.615023716381463,0.49548249788569,0.782178217821782,0.0396039603960396,"Dabrafenib","BRAF","SBS40L","MM",11,9,16,12
0.623631750699559,0.59303613838901,0.732673267326733,0.0297029702970297,"Dabrafenib","BRAF","SBS42L","MM",7,4,16,12
-0.609005459478061,-0.866048489349742,0.0396039603960396,0.861386138613861,"Dabrafenib","BRAF","SBS43/60L","MM",4,3,16,12
1.23071486840925,0.399761935625034,0.910891089108911,0.148514851485149,"Dabrafenib","BRAF","SBS44L","MM",2,2,16,12
0.306571485777911,-0.187515156708342,0.455445544554455,0.386138613861386,"Dabrafenib","BRAF","SBS45/38L/4L","MM",8,6,16,12
0.483441851315798,0.325583949529163,0.673267326732673,0.0594059405940594,"Dabrafenib","BRAF","SBS46L","MM",6,3,16,12
0.216642475514789,0.0531802393039422,0.425742574257426,0.316831683168317,"Dabrafenib","BRAF","SBS48L","MM",6,2,16,12
-0.297839732092119,-0.866048489349742,0.108910891089109,0.871287128712871,"Dabrafenib","BRAF","SBS49","MM",5,3,16,12
